order_id,restaurant_id,customer_id,order_date,order_time,delivery_time,total_cost,item_count,payment_method,customer_rating
38221dfc,760d1a28,ef2b0995,2024-02-10,16:47,79,1344.17,5,UPI,3.8
04b2dc08,502053dd,bad21b62,2024-01-15,17:17,63,1672.1,4,Net Banking,2.5
6e1098fe,74d2ed66,308d0b15,2024-05-06,9:51,32,992.86,1,Wallet,2
d32f543e,d56c5b5e,a9e0d903,2024-02-02,6:29,31,1033.8,3,Credit Card,3.5
db1a2c5f,c867f4c3,639c9f46,2024-07-28,2:40,50,1365.96,9,Wallet,1.6
f9b9c14d,c2dd51cf,4fc9bd6b,2024-12-04,12:55,31,918.36,6,COD,3.3
617e3e23,f5e8e8a9,3c5aacd7,2024-12-08,2:37,85,732.02,4,Net Banking,4.7
d09cc1e9,e11f3ddf,bb87ba85,2024-09-14,11:11,17,618.44,10,UPI,2.9
2f3bde66,bfbb1501,7f1e90e9,2024-01-27,1:36,54,462.92,8,Wallet,1.4
553fea61,8a592a8a,cb7a4d52,2024-02-18,17:08,17,317.6,9,Wallet,2.2
2b1a8b3c,ce114fee,ca99ce50,2024-12-14,14:59,86,1343.94,5,UPI,4.2
4a6b7549,bc4f828e,f5d06841,2024-03-16,19:05,23,1065.32,7,Credit Card,2.9
5b594f80,9.18E+07,c8530ddc,2024-08-10,6:20,89,889.19,10,COD,2.7
7280c654,62249dbf,ad976efe,2024-09-03,8:40,65,1082.97,8,Net Banking,2.6
b929b9a8,9ac148bf,2617e33e,2024-09-13,8:09,87,1438.23,8,COD,2.7
f1064510,4d9244b9,aa6e3b9c,2024-11-18,6:25,53,916.43,4,UPI,2.7
21d00a48,9ff72da6,494ce647,2024-04-16,21:26,70,577.11,10,UPI,2.1
ea5a81aa,14f8c226,7c329a1c,2024-08-04,7:10,48,797.58,2,COD,4.7
7f09dd22,eab30c2f,00750b8c,2024-01-05,13:52,65,1829.31,2,Wallet,1.3
e020448d,94e70589,c0885418,2024-07-27,4:05,39,1604.65,9,COD,2.9
97d9c034,28450860,08022a84,2024-06-28,0:04,23,1389.15,8,UPI,3.7
493d455b,bf0d16e8,77db289e,2024-05-17,11:46,21,225.25,3,UPI,3.5
53e4c78f,d0b43dbe,68a17f17,2024-10-27,16:25,15,1170.99,7,Net Banking,4.6
7d544897,e6f5e6b1,da50cd1f,2024-01-06,0:56,25,1489.01,7,COD,2.7
d5fbbc19,d4eb642a,d3c28f0e,2024-07-25,2:06,74,527.85,7,Credit Card,3.1
e06eadb7,6a557120,e37c9348,2024-12-01,23:34,86,1566.55,9,UPI,3.6
e142d877,20fd72ee,c0a7f6e4,2024-10-21,18:05,59,1901.4,3,UPI,2.5
26aa6d23,5e9ad80d,25c684c1,2024-09-28,23:01,29,299.2,6,UPI,2
ef862104,228796c5,94c75dc9,2024-07-13,23:29,76,1066.17,2,COD,2.7
ee75bcda,96c583bb,815240b5,2024-04-01,10:49,67,510.73,8,Net Banking,3.2
04692a8a,d2a546bc,26c5b8b1,2024-01-09,1:48,82,788.83,3,Net Banking,4.9
83845749,369bf88e,e85c7846,2024-01-21,16:38,81,1917.09,2,Net Banking,2.5
e4aa3944,c71efa45,4744adb3,2024-07-22,1:40,43,880.75,2,Credit Card,4.1
55cd421c,9f137e8a,81f67200,2024-08-04,2:28,22,1842.33,1,COD,4.8
da0b703b,7a6b060d,0c7ac64e,2024-11-06,6:30,21,1327.12,3,Wallet,1.7
e7d7c3c8,9ff72da6,78ecf57c,2024-07-01,8:50,21,428.82,3,Credit Card,2.3
42e1767d,62026a9a,63c1dcb8,2024-11-24,22:00,18,1883.86,3,Wallet,4.2
d8c6c563,ab601722,0c93b1d9,2024-02-08,23:42,22,902.9,1,Wallet,4
fffbc150,2a7a8abf,076ea892,2024-02-13,20:15,54,303.11,1,COD,1.7
0be22cfe,0ae349c2,82b6752c,2024-01-12,4:23,64,1650.2,4,COD,1.2
389a499d,51bc9499,f33023de,2024-09-11,5:03,22,1226.41,3,UPI,1.2
31e0ca56,dddddf29,5c50cbd7,2024-07-18,17:12,74,426.35,10,UPI,2.8
9b1737fb,cb476aae,e5253af5,2024-09-03,0:29,42,305.12,1,UPI,2.6
dc48db49,79617b25,8fb283ef,2024-04-04,13:01,33,662.03,9,COD,2.1
654e77cf,fe75f9a6,970bfdcf,2024-01-19,10:45,18,1456.34,8,Wallet,2.7
5c68f49e,ce8f2030,c9ad6b1e,2024-10-15,1:17,89,1960.73,9,UPI,2.7
a14cc5b7,c1244b75,0300315c,2024-03-25,22:36,49,1401.7,1,Net Banking,1.2
f3959143,b62af499,50fe7891,2024-09-01,18:47,19,1789.66,5,Wallet,1.8
96356b53,f2bb6dd3,535a2da5,2024-01-13,13:12,27,1347.07,3,Wallet,1.9
90413c16,97ba5c47,6accc025,2024-02-12,20:21,51,665.34,4,UPI,2.6
b837b9a6,f6a4fedc,9629a26a,2024-04-02,22:02,81,1844.65,3,UPI,3.5
735edc53,2f6d7840,0319a1ea,2024-02-26,18:46,48,468.88,4,UPI,2.7
915b5bf3,5a47cc33,f75f61bc,2024-11-11,2:12,75,597.44,8,UPI,4.8
80bced47,5f0a9f32,c46a32ef,2024-12-20,2:35,28,930.85,5,Net Banking,4.6
67c376d5,a8e96359,c74bfa16,2024-11-01,7:17,18,1274.69,2,Net Banking,3.4
9839802,02df79eb,15338b57,2024-11-15,5:57,31,1402.69,5,UPI,2.7
f11acb64,8bb9a4b0,57a6f3bc,2024-04-10,17:00,82,145.45,4,COD,2
4e123c01,4290a87b,327dda03,2024-09-12,11:14,71,1453.11,9,Credit Card,4.3
5845b21e,3d59878b,ad000800,2024-03-02,3:38,60,1525.71,4,Wallet,1.3
7db29269,c317908c,d7f8bd00,2024-12-02,18:00,89,1159.33,1,Credit Card,4.9
46075c8e,2f6d7840,b0444c04,2024-02-03,6:42,20,1650.55,2,UPI,5
11b5078c,fcd19837,a5c4b5fa,2024-12-24,21:47,67,601.19,9,Credit Card,2.1
855cfa79,78805df4,1470cf4c,2024-08-12,20:52,83,580.71,4,Net Banking,3.3
8575f654,10504ca1,f7b07849,2024-10-08,10:14,54,158.09,3,UPI,4.3
